INDEX,Clusters_A,SSE_A,Clusters_D,SSE_D,Clusters_DW,SSE_DW,Clusters_H,SSE_H,Clusters_L,SSE_L,Clusters_O,SSE_O
1,1,88393.76499,1,22304.07277,1,23585.33705,1,22233.71905,1,0.221214545,1,20271.29977
2,2,70809.0525,2,6316.219827,2,5918.113766,2,6959.007772,2,0.099444543,2,7346.523887
3,3,60754.47792,3,2684.194778,3,2541.022023,3,2920.402417,3,0.072509345,3,6339.127335
4,4,52509.22452,4,1535.043961,4,1299.394943,4,1588.72479,4,0.050596566,4,5198.118295
5,5,46206.86362,5,974.9990639,5,1307.272469,5,1080.27885,5,0.036585956,5,0.219856717
6,6,42279.25887,6,683.9634777,6,410.1803174,6,740.5179827,6,0.033419992,6,830.6659469
7,7,38639.89964,7,497.5711014,7,0.221163125,7,722.5398929,7,0.026185506,7,0.189777148
8,8,35472.52092,8,391.5089893,8,854.1940251,8,413.4969224,8,0.022081835,8,0.153655764
9,9,33535.01445,9,308.9629324,9,0.186176922,9,487.7984576,9,0.018912207,9,0.151179373
10,10,31522.7689,10,259.0722921,10,444.2308304,10,259.3991099,10,0.016955727,10,0.155660098
11,11,29686.08496,11,209.8366895,11,0.181958976,11,332.8532023,11,0.014193673,11,0.100308356
12,12,28388.8199,12,175.7783832,12,0.160785856,12,295.5669032,12,0.013355991,12,0.093275307
13,13,27249.57424,13,147.8953308,13,410.1138019,13,203.7313479,13,0.012700813,13,0.087687743
14,14,25995.93578,14,139.8582437,14,0.144202492,14,191.5503918,14,0.011267308,14,0.07348583
15,15,25200.85828,15,111.6044112,15,0.125485048,15,153.5708912,15,0.010802526,15,0.075919537
16,16,24693.91254,16,112.8619104,16,0.104855953,16,94.07560027,16,0.011324193,16,0.062767516
17,17,23923.11223,17,94.07097814,17,0.116870596,17,136.8264519,17,0.009517758,17,0.117947156
18,18,23046.21507,18,87.39945526,18,0.115965932,18,207.710238,18,0.008881198,18,0.083423368
19,19,22314.86743,19,88.07393855,19,0.113216854,19,80.41671881,19,0.008738385,19,0.055991513
20,20,21926.3865,20,66.28485519,20,0.090676169,20,95.93090515,20,0.00795933,20,0.082317993
21,21,21080.69576,21,64.52970105,21,0.075354241,21,39.59709601,21,0.007307583,21,0.056537395
22,22,21040.32318,22,59.36177233,22,0.076391965,22,111.8004162,22,0.007000709,22,0.065471555
23,23,20208.44044,23,55.20218331,23,0.070874621,23,185.1909577,23,0.006783176,23,0.045126733
24,24,19553.72949,24,48.54713049,24,0.10037628,24,39.9284595,24,0.006140457,24,0.037043696
25,25,19118.85139,25,43.39545319,25,0.088502243,25,82.59215807,25,0.006482405,25,0.069306704
26,26,18772.52238,26,42.05140092,26,0.065525735,26,13.77739461,26,0.005889906,26,0.040798978
27,27,18367.28577,27,40.63409546,27,0.064229005,27,59.1982279,27,0.005642999,27,0.043960639
28,28,17986.58979,28,35.88370948,28,0.072033789,28,33.31377709,28,0.00529298,28,0.035576974
29,29,17682.24793,29,31.48859219,29,0.054685583,29,36.90355297,29,0.005407899,29,0.048050506
30,30,17311.38533,30,38.38434769,30,0.058036673,30,27.46612538,30,0.005104699,30,0.0315748
31,31,16958.54183,31,28.33169104,31,0.058754662,31,58.98778443,31,0.005223307,31,0.028405099
32,32,16650.075,32,29.29995915,32,0.045757613,32,28.27101311,32,0.005006402,32,0.039637746
33,33,16399.64107,33,27.4448959,33,0.076780393,33,67.25198269,33,0.005195917,33,0.029749772
34,34,16129.81301,34,27.14000384,34,0.044658556,34,42.35438311,34,0.004409538,34,0.029663943
35,35,15644.54287,35,24.93381485,35,0.03831911,35,20.89610907,35,0.004262019,35,0.027264319
36,36,15564.80326,36,33.24623073,36,0.089956387,36,16.45168297,36,0.004543714,36,0.032629308
37,37,15225.63434,37,23.67998177,37,0.04671771,37,17.08464289,37,0.004262468,37,0.022694616
38,38,15123.80523,38,21.97530353,38,0.042321812,38,34.47732476,38,0.004029759,38,0.028218089
39,39,14811.19685,39,18.01421809,39,0.044143024,39,56.56729862,39,0.003618248,39,0.028078462
40,40,14805.2752,40,17.58387909,40,0.040751388,40,36.85115644,40,0.003941341,40,0.026684629
41,41,14328.89284,41,19.39907994,41,0.041085822,41,3.085300176,41,0.003726918,41,0.020717841
42,42,14201.9562,42,26.20167933,42,0.032507067,42,3.663461348,42,0.004180799,42,0.028719707
43,43,14037.94905,43,17.71234279,43,0.035012726,43,24.82284438,43,0.003270036,43,0.023433429
44,44,13714.88866,44,17.09859304,44,0.038396818,44,31.86197033,44,0.003678292,44,0.034495317
45,45,13499.85386,45,16.30747868,45,0.035317692,45,21.86222966,45,0.003844912,45,0.022533143
46,46,13337.98542,46,18.06233255,46,0.033029648,46,18.37450454,46,0.002976452,46,0.017814839
47,47,13095.244,47,15.440089,47,0.031868292,47,3.571618209,47,0.003354674,47,0.020359309
48,48,13192.20474,48,14.39984087,48,0.02874423,48,10.2793424,48,0.003294206,48,0.029188419
49,49,12938.4724,49,14.63783196,49,0.027839179,49,0.140117896,49,0.002821255,49,0.019509916
50,50,12951.36916,50,13.63221863,50,0.03549158,50,30.75339246,50,0.002921398,50,0.0197459
